Company,Board of Directors or Executive Management,Position,Approximate Categorization,Special Area,Name,Nationality,Year of Birth,Educational Background,Gender,Remarks
Camurus,Executive Management,Chief Commercial Officer,Support Function,Comms and Marketing,Richard Jameson,UK (predicted),1964,Sciences,Male,
Camurus,Executive Management,VP Clinical Development,Support Function,Innovation,Agneta Svedberg,Sweden (predicted),1963,"Sciences, Medicine",Female,
Camurus,Executive Management,VP Regulatory Affairs,Support Function,Legal Affairs,Annette Mattsson,Sweden (predicted),1966,"Sciences, Business",Female,
Camurus,Executive Management,Chief Business Development Officer,Support Function,"Other: ""Business Development""",Fredrik Joabsson,Sweden (predicted),1972,Sciences,Male,
Camurus,Executive Management,Global Head of HR,Support Function,Human Resources,Maria Lundqvist,Sweden (predicted),1966,Business,Female,
Camurus,Executive Management,Chief Medical Officer,Support Function,"Other: ""Medical""",Alberto M. Pedroncelli,Italy (predicted),1964,Medicine,Male,
Camurus,Executive Management,Chief Technical Officer,Support Function,"Other: ""Technical""",Torsten Malmström,Sweden (predicted),1968,Sciences,Male,
Camurus,Executive Management,Senior Vice President R&D,Support Function,"Other: ""R&D""",Markus Johnsson,Sweden (predicted),1972,Sciences,Male,
Camurus,Executive Management,President Camurus Inc,Business Unit Head,"Other: ""US Operations""",Behshad Sheldon,USA (predicted),1963,Sciences,Female,
Camurus,Executive Management,VP Legal & Group General Counsel,Support Function,Legal Affairs,Bo A. C. Tarras-Wahlberg,Sweden (predicted),1975,Law,Male,
Castellum,Board of Directors,Chair,Chair,Chair,Per Berggren,Sweden (predicted),1959,"Engineering, Business",Male,
Castellum,Board of Directors,Board Member,Board Member,Board Member,Pål Ahlsén,Sweden (predicted),1972,Business,Male,
Castellum,Board of Directors,Board Member,Board Member,Board Member,Anna-Karin Celsing,Sweden (predicted),1962,Business,Female,
Castellum,Board of Directors,Board Member,Board Member,Board Member,Henrik Käll,Sweden (predicted),1967,Business,Male,
Castellum,Board of Directors,Board Member,Board Member,Board Member,Ann-Louise Lökholm Klasson,Sweden (predicted),1971,"Engineering, Business",Female,
Castellum,Board of Directors,Vice Chair,Vice Chair,Vice Chair,Louise Richnau,Sweden (predicted),1966,Engineering,Female,
Castellum,Executive Management,President and CEO,CEO,CEO,Joacim Sjöberg,Sweden (predicted),1964,Law,Male,
Castellum,Executive Management,Chief Operating Officer (COO),Support Function,Other: Operations,Sebastian Schlasberg,Sweden (predicted),1982,Business,Male,
Castellum,Executive Management,Chief Financial Officer (CFO),Support Function,Finance,Jens Andersson,Sweden (predicted),1973,Business,Male,
Castellum,Executive Management,Head of People & Culture,Support Function,Human Resources,Hanna Brandström,Sweden (predicted),1980,Business,Female,
Castellum,Executive Management,"Managing Director, Region Mälardalen",Business Unit Head,Country Head,Mats Eriksson,Sweden (predicted),1963,Other: High School Engineering,Male,
Castellum,Executive Management,"Managing Director, Region Central",Business Unit Head,Country Head,Per Gawelin,Sweden (predicted),1978,Other: Secondary Economics,Male,
Castellum,Executive Management,Chief Legal Officer (CLO),Support Function,Legal Affairs,Malin Löveborg,Sweden (predicted),1978,Law,Female,
Castellum,Executive Management,Communications Director,Support Function,Comms and Marketing,Anna-Karin Nyman,Sweden (predicted),1983,Humanities,Female,
Castellum,Executive Management,"Managing Director, Region Öresund",Business Unit Head,Country Head,Ola Orsmark,Sweden (predicted),1971,Engineering,Male,
Castellum,Executive Management,"Managing Director, Region West",Business Unit Head,Country Head,Örjan Rystedt,Sweden (predicted),1975,Engineering,Male,
Castellum,Executive Management,Chief Investment Officer (CIO),Support Function,Other: Investments,Kristina Sawjani,Sweden (predicted),1975,Engineering,Female,
Castellum,Executive Management,"Managing Director, Region Stockholm",Business Unit Head,Country Head,Sven Stork,Sweden (predicted),1967,Engineering,Male,
Catena,Board of Directors,Chairman of the Board of Directors,Chair,Chair,Lennart Mauritzson,Sweden,1967,"Business, Law",Male,
Catena,Board of Directors,Board Member,Board Member,Board Member,Hélène Briggert,Sweden,1985,Business,Female,
Catena,Board of Directors,Board Member,Board Member,Board Member,Gustaf Hermelin,Sweden,1956,Business,Male,
Catena,Board of Directors,Board Member,Board Member,Board Member,Vesna Jovic,Sweden,1961,Humanities: Sociology,Female,
Catena,Board of Directors,Board Member,Board Member,Board Member,Joost Uwents,Belgium,1969,"Engineering, Business",Male,
Catena,Board of Directors,Board Member,Board Member,Board Member,Katarina Wallin,Sweden,1970,"Engineering, Business, Humanities",Female,
Catena,Board of Directors,Board Member,Board Member,Board Member,Caesar Åfors,Sweden,1959,Other: Forestry,Male,
Catena,Executive Management,CEO,CEO,CEO,Jörgen Eriksson,Sweden (predicted),1972,Business,Male,
Catena,Executive Management,Deputy CEO and CFO,Support Function,Finance,Sofie Bennsten,Sweden (predicted),1969,Business,Female,
Catena,Executive Management,Head of Business and Property,Business Unit Head,Other: Business and Property,Johan Franzén,Sweden (predicted),1978,Business,Male,
Catena,Executive Management,Head of HR,Support Function,Human Resources,Malin Nissen,Sweden (predicted),1967,Business,Female,
Catena,Executive Management,Head of Marketing and Communications,Support Function,Comms and Marketing,Annie Nyblom,Sweden (predicted),1978,Other: Communication and Media,Female,
Catena,Executive Management,Chief Treasury Officer,Support Function,Finance,David Silvesjö,Sweden (predicted),1979,Business,Male,
Catena,Executive Management,Head of Sustainability,Support Function,Sustainability,Amanda Thynell,Sweden (predicted),1990,Business,Female,
Corem,Board of Directors,Chairman of the Board of Directors,Chair,Chair,Patrik Essehorn,Sweden (predicted),1967,Law,Male,
Corem,Board of Directors,Board Member,Board Member,Board Member,Rutger Arnhult,Sweden (predicted),1967,Business,Male,
Corem,Board of Directors,Board Member,Board Member,Board Member,Katarina Klingspor,Sweden (predicted),1963,"Business, Law",Female,
Corem,Board of Directors,Board Member,Board Member,Board Member,Fredrik Rapp,Sweden (predicted),1972,Business,Male,
Corem,Board of Directors,Board Member,Board Member,Board Member,Christian Roos,Sweden (predicted),1972,Business,Male,
Corem,Board of Directors,Board Member,Board Member,Board Member,Christina Tillman,Sweden (predicted),1968,Business,Female,
Corem,Board of Directors,Board Member,Board Member,Board Member,Magnus Uggla,Sweden (predicted),1952,"Engineering, Business",Male,
Corem,Executive Management,CEO,CEO,CEO,Rutger Arnhult,Sweden (predicted),1967,Business,Male,
Corem,Executive Management,Deputy CEO,Support Function,Finance,Eva Landén,Sweden (predicted),1965,Business,Female,
Corem,Executive Management,Head of Business Development,Support Function,Other: Business Development,Håkan Engstam,Sweden (predicted),1963,Engineering,Male,
Corem,Executive Management,Acting Head of Finance,Support Function,Finance,Anders Karlsson,Sweden (predicted),1978,Engineering,Male,
Corem,Executive Management,Head of Transactions,Support Function,Other: Transactions,Peeter Kinnunen,Sweden (predicted),1973,Engineering,Male,
Corem,Executive Management,Property Manager,Business Unit Head,Other: Property Management,Anna Lidhagen Ohlsén,Sweden (predicted),1973,"Engineering, Other: Real Estate Economics",Female,
Creaspac,Board of Directors,Chairman of the Board of Directors,Chair,Chair,Sven Hagströmer,Sweden (predicted),1943,Business,Male,
Creaspac,Board of Directors,Deputy Chairman,Vice Chair,Vice Chair,Peter Nilsson,Sweden (predicted),1962,Business,Male,
Creaspac,Board of Directors,Board Member,Board Member,Board Member,Anna Nordell-Westling,Sweden (predicted),1979,Business,Female,
Creaspac,Board of Directors,Board Member,Board Member,Board Member,Anna Ryott,Sweden (predicted),1972,Business,Female,
Creaspac,Board of Directors,Board Member,Board Member,Board Member,Annika Sigfrid,Sweden (predicted),1974,Business,Female,
Creaspac,Board of Directors,Board Member,Board Member,Board Member,Pär Svärdson,Sweden (predicted),1969,"Sciences, Business",Male,
Creaspac,Board of Directors,Board Member,Board Member,Board Member,Hans Toll,Sweden (predicted),1970,Business,Male,
Creaspac,Executive Management,CEO,CEO,CEO,John Hedberg,Sweden (predicted),1972,Business,Male,
Creaspac,Executive Management,CFO,Support Function,Finance,Christina Hilmersson,Sweden (predicted),1961,Business,Female,
Diös Fastigheter,Board of Directors,Chairman of the Board of Directors,Chair,Chair,Bob Persson,Sweden (predicted),1950,Business,Male,
Diös Fastigheter,Board of Directors,Board Member,Board Member,Board Member,Ragnhild Backman,Sweden (predicted),1963,Engineering,Female,
Diös Fastigheter,Board of Directors,Board Member,Board Member,Board Member,Peter Strand,Sweden (predicted),1971,Engineering,Male,
Diös Fastigheter,Board of Directors,Board Member,Board Member,Board Member,Erika Olsén,Sweden (predicted),1976,Business,Female,
Diös Fastigheter,Board of Directors,Board Member,Board Member,Board Member,Per-Gunnar Persson,Sweden (predicted),1965,Engineering,Male,
Diös Fastigheter,Executive Management,CEO,CEO,CEO,Knut Rost,Sweden,1959,Engineering,Male,
Diös Fastigheter,Executive Management,CFO,Support Function,Finance,Rolf Larsson,Sweden,1964,Business,Male,
Diös Fastigheter,Executive Management,Director of Property Management,Business Unit Head,Other: Property Management,Sofie Stark,Sweden,1971,Business,Female,
Diös Fastigheter,Executive Management,Director of Projects,Support Function,Other: Projects,Mats Eriksson,Sweden,1964,"Business, Other: Construction",Male,
Diös Fastigheter,Executive Management,Head of Transactions,Support Function,Other: Transactions,Annie Franzon,Sweden,1988,Business,Female,
Diös Fastigheter,Executive Management,Head of IR,Support Function,Comms and Marketing,Johan Dernmar,Sweden,1984,Business,Male,
Dometic Group,Board of Directors,Chairman of the Board of Directors,Chair,Chair,Fredrik Cappelen,Sweden,1957,Business,Male,
Dometic Group,Board of Directors,Board Member,Board Member,Board Member,Heléne Vibbleus,Sweden,1958,Business,Female,
Dometic Group,Board of Directors,Board Member,Board Member,Board Member,Erik Olsson,Sweden,1962,Business,Male,
Dometic Group,Board of Directors,Board Member,Board Member,Board Member,Jacqueline Hoogerbrugge,Netherlands,1963,Engineering,Female,
Dometic Group,Board of Directors,Board Member,Board Member,Board Member,Peter Sjölander,Sweden,1959,Business,Male,
Dometic Group,Board of Directors,Board Member,Board Member,Board Member,Patrik Frisk,Sweden,1963,N/A,Male,
Dometic Group,Board of Directors,Board Member,Board Member,Board Member,Rainer Schmückle,Germany,1959,Engineering,Male,
Dometic Group,Board of Directors,Board Member,Board Member,Board Member,Mengmeng Du,China,1980,"Business, Engineering",Female,
Dometic Group,Executive Management,President and CEO,CEO,CEO,Juan Vargues,Sweden,1959,"Engineering, Business",Male,
Dometic Group,Executive Management,EVP and Head of Group HR,Support Function,Human Resources,Jenny Evelius,Sweden,1969,Business,Female,
Dometic Group,Executive Management,President of Segment Marine,Business Unit Head,Other: Marine Segment,Eric B. Fetchko,Canada,1962,Engineering,Male,
Dometic Group,Executive Management,EVP and Head of Group Operations & Sustainability,Support Function,Sustainability,Anders Fransson,Sweden,1969,Engineering,Male,
Dometic Group,Executive Management,Chief Financial Officer,Support Function,Finance,Stefan Fristedt,Sweden,1966,Business,Male,
Dometic Group,Executive Management,President of Segment Land Vehicles APAC,Business Unit Head,Other: Land Vehicles Segment,Chialing Hsueh,Taiwan,1963,Business,Female,
Dometic Group,Executive Management,Chief Marketing Officer,Support Function,Comms and Marketing,Peter Jannerö,Sweden,1969,Business,Male,
Dometic Group,Executive Management,President of Segment Land Vehicles EMEA,Business Unit Head,Other: Land Vehicles Segment,Eva Karlsson,Sweden,1966,"Engineering, Business",Female,
Dometic Group,Executive Management,Chief Technology Officer,Support Function,Innovation,Anton Lundqvist,Sweden,1970,"Engineering, Sciences",Male,
Dometic Group,Executive Management,President of Segment Mobile Cooling Solutions,Business Unit Head,Other: Cooling Segment,Joshua Militello,USA,1974,Humanities,Male,
Dometic Group,Executive Management,President of Segment Land Vehicles Americas,Business Unit Head,Other: Land Vehicles Segment,Todd Seyfert,USA,1969,Business,Male,
Dometic Group,Executive Management,Group General Counsel,Support Function,Legal Affairs,Anna Smieszek,"Sweden, Poland",1964,Law,Female,
Electrolux,Board of Directors,Chairman,Chair,Chair,Torbjörn Lööf,Sweden,1965,"Engineering, Business",Male,
Electrolux,Board of Directors,Board Member,Board Member,Board Member,Geert Follens,Belgium,1959,"Engineering, Business",Male,
Electrolux,Board of Directors,Board Member,Board Member,Board Member,Petra Hedengran,Sweden,1964,Law,Female,
Electrolux,Board of Directors,Board Member,Board Member,Board Member,Ulla Litzén,Sweden,1956,Business,Female,
Electrolux,Board of Directors,Board Member,Board Member,Board Member,Daniel Nodhäll,Sweden,1978,Business,Male,
Electrolux,Board of Directors,Board Member,Board Member,Board Member,Karin Overbeck,Germany,1966,Business,Female,
Electrolux,Board of Directors,Board Member,Board Member,Board Member,David Porter,USA,1965,Business,Male,
Electrolux,Board of Directors,Board Member,Board Member,Board Member,Michael Rauterkus,Germany,1966,Business,Male,
Electrolux,Board of Directors,President and CEO,Board Member,CEO,Jonas Samuelson,Sweden,1968,Business,Male,
Electrolux,Executive Management,President and CEO,CEO,CEO,Jonas Samuelson,Sweden,1968,Business,Male,
Electrolux,Executive Management,Head of Product Line Taste,Business Unit Head,"Other: ""Product Line Head""",Dan Arler,Netherlands,1969,Business,Male,
Electrolux,Executive Management,Head of Product Line Care,Business Unit Head,"Other: ""Product Line Head""",Ian Banes,UK,1968,Engineering,Male,
Electrolux,Executive Management,Chief Technology and Sustainability Officer,Support Function,Innovation,Elena Breda,Italy,1973,Engineering,Female,
Electrolux,Executive Management,CEO and Head of Business Area North America,Business Unit Head,Country Head,Ricardo Cons,Brazil,1967,Business,Male,
Electrolux,Executive Management,"Chief Financial Officer, Head of Finance, Legal & IT",Support Function,Finance,Therese Friberg,Sweden,1975,Business,Female,
Electrolux,Executive Management,CEO and Head of Business Area Latin America,Business Unit Head,Country Head,Leandro Jasiocha,Brazil,1976,Business,Male,
Electrolux,Executive Management,"Group Executive Vice President and Head of Business Area Europe, Asia-Pacific, Middle East and Africa",Business Unit Head,Country Head,Anna Ohlsson-Leijon,Sweden,1968,Business,Female,
Electrolux,Executive Management,Chief Human Resources Officer & Communication,Support Function,Human Resources,Lars Worsøe Petersen,Denmark,1958,Business,Male,
Elekta,Board of Directors,Chairman,Chair,Chair,Laurent Leksell,Sweden (predicted),1952,Business,Male,
Elekta,Board of Directors,Board Member,Board Member,Board Member,Caroline Leksell Cooke,Sweden (predicted),1981,Business,Female,
Elekta,Board of Directors,Board Member,Board Member,Board Member,Ann Costello,Ireland (predicted),1960,Sciences,Female,
Elekta,Board of Directors,Board Member,Board Member,Board Member,Tomas Eliasson,Sweden (predicted),1962,Business,Male,
Elekta,Board of Directors,Board Member,Board Member,Board Member,Jan Kimpen,Belgium (predicted),1958,Medicine,Male,
Elekta,Board of Directors,Board Member,Board Member,Board Member,Wolfgang Reim,Germany (predicted),1956,Sciences,Male,
Elekta,Board of Directors,Board Member,Board Member,Board Member,Jan Secher,Sweden (predicted),1957,Engineering,Male,
Elekta,Board of Directors,Board Member,Board Member,Board Member,Volker Wetekam,Germany (predicted),1970,"Engineering, Business",Male,
Elekta,Board of Directors,Board Member,Board Member,Board Member,Cecilia Wikström,Sweden (predicted),1965,Humanities,Female,
Embracer Group,Board of Directors,Chairman,Chair,Chair,Kicki Wallje-Lund,Sweden (predicted),1953,Business,Female,
Embracer Group,Board of Directors,Board Member,Board Member,Board Member,Lars Wingefors,Sweden (predicted),1977,N/A,Male,
Embracer Group,Board of Directors,Board Member,Board Member,Board Member,Yasmina Brihi,France (predicted),1975,Business,Female,
Embracer Group,Board of Directors,Board Member,Board Member,Board Member,Jacob Jonmyren,Sweden (predicted),1980,Business,Male,
Embracer Group,Board of Directors,Board Member,Board Member,Board Member,Cecilia Qvist,Sweden (predicted),1972,Business,Female,
Embracer Group,Board of Directors,Board Member,Board Member,Board Member,Bernt Ingman,Sweden (predicted),1954,Business,Male,
Embracer Group,Board of Directors,Board Member,Board Member,Board Member,Brian Ward,USA (predicted),1957,"Business, Law",Male,
Embracer Group,Executive Management,Co-founder and CEO,CEO,CEO,Lars Wingefors,Sweden (predicted),1977,Business,Male,
Embracer Group,Executive Management,Group CFO,Support Function,Finance,Müge Bouillon,France (predicted),1979,Business,Female,
Embracer Group,Executive Management,"Chief of Staff, Legal & Governance",Support Function,Legal Affairs,Ian Gulam,Sweden (predicted),1982,Law,Male,
Embracer Group,Executive Management,Chief Strategic Partnerships Officer,Support Function,"Other: ""Strategic Partnerships""",Careen Yapp,USA (predicted),1969,Humanities,Female,
Embracer Group,Executive Management,"CEO, Crystal Dynamics – Eidos",Business Unit Head,"Other: ""Business Unit Head""",Phil Rogers,UK (predicted),1969,Sciences,Male,
Embracer Group,Executive Management,"Co-founder and CEO, Coffee Stain",Business Unit Head,"Other: ""Business Unit Head""",Anton Westbergh,Sweden (predicted),1985,Engineering,Male,
Embracer Group,Executive Management,Group CFO,Support Function,Finance,Thomas Kœgler,France (predicted),1981,Business,Male,
Epiroc AB,Board of Directors,Chair,Chair,Board of Directors Member,Ronnie Leten,Belgium,1956,Business,Male,
Epiroc AB,Board of Directors,Member,Board Member,Board Member,Johan Forssell,Sweden,1971,Business,Male,
Epiroc AB,Board of Directors,Member,Board Member,Board Member,Ulla Litzén,Sweden,1956,Business,Female,
Epiroc AB,Board of Directors,Member,Board Member,Board Member,Lennart Evrell,Sweden,1954,"Engineering, Business",Male,
Epiroc AB,Board of Directors,Member,Board Member,Board Member,Jeane Hull,USA,1955,Engineering,Female,
Epiroc AB,Board of Directors,Member,Board Member,Board Member,Astrid Skarheim Onsum,Norway,1970,Engineering,Female,
Epiroc AB,Board of Directors,Member,Board Member,Board Member,Helena Hedblom,Sweden,1973,Engineering,Female,
Epiroc AB,Board of Directors,Member,Board Member,Board Member,Sigurd Mareels,Belgium,1961,Engineering,Male,
Epiroc AB,Board of Directors,Member,Board Member,Board Member,Anthea Bath,South Africa,1976,Engineering,Female,
Epiroc AB,Executive Management,President and CEO,CEO,CEO,Helena Hedblom,Sweden,1973,Engineering,Female,
Epiroc AB,Executive Management,"Senior Vice President Controlling, Finance and Sustainability (CFO)",Support Function,Finance,Håkan Folin,Sweden,1976,"Engineering, Business",Male,
Epiroc AB,Executive Management,President Surface,Business Unit Head,"Other: ""Surface Division""",José Manuel Sánchez,Spain,1963,"Engineering, Business",Male,
Epiroc AB,Executive Management,President Underground,Business Unit Head,"Other: ""Underground Division""",Wayne Symes,Australia,1973,Business,Male,
Epiroc AB,Executive Management,President Digital Solutions,Business Unit Head,"Other: ""Digital Solutions""",Paul Bergström,Sweden,1974,Engineering,Male,
Epiroc AB,Executive Management,President Parts & Services NASA,Business Unit Head,"Other: ""Parts & Services NASA""",Nelson Trejo,Chile,1975,Engineering,Male,
Epiroc AB,Executive Management,President Parts & Services EMEA,Business Unit Head,"Other: ""Parts & Services EMEA""",Luis Araneda,Chile,1974,"Engineering, Business",Male,
Epiroc AB,Executive Management,President Parts & Services APAC,Business Unit Head,"Other: ""Parts & Services APAC""",Jodie Velasquez,USA,1981,Business,Female,
Epiroc AB,Executive Management,President Attachments,Business Unit Head,"Other: ""Attachments Division""",Goran Popovski,"Sweden, Macedonia",1974,Business,Male,
Epiroc AB,Executive Management,President Tools Division,Business Unit Head,"Other: ""Tools Division""",Martin Hjerpe,Sweden,1976,Engineering,Male,
Epiroc AB,Executive Management,Chief Technology Officer (CTO),Support Function,Innovation,Jonas Albertson,Sweden,1967,Engineering,Male,
Epiroc AB,Executive Management,"Senior Vice President Brand & Communications, HR and SHEQ",Support Function,Human Resources,Nadim Penser,Sweden,1967,Engineering,Male,
Epiroc AB,Executive Management,Senior Vice President General Counsel,Support Function,Legal Affairs,Charlotta Grähs,Sweden,1971,Law,Female,
EQT AB,Board of Directors,Chairperson,Chair,Chair,Conni Jonsson,Sweden,1959,Business,Male,
EQT AB,Board of Directors,Deputy Chairperson,Vice Chair,Vice Chair,Marcus Wallenberg,Sweden,1955,Business,Male,
EQT AB,Board of Directors,Board Member,Board Member,Board Member,Margo Cook,USA,1963,Business,Female,
EQT AB,Board of Directors,Board Member,Board Member,Board Member,Brooks Entwistle,USA,1966,"Business, Humanities",Male,
EQT AB,Board of Directors,Board Member,Board Member,Board Member,Richa Goswami,India,1971,"Business, Other: ""Pharmaceutical Sciences""",Female,
EQT AB,Board of Directors,Board Member,Board Member,Board Member,Diony Lebot,"France, Greece",1961,Business,Female,
EQT AB,Board of Directors,Board Member,Board Member,Board Member,Gordon Orr,UK,1961,"Engineering, Business",Male,
EQT AB,Executive Management,CEO and Managing Partner,CEO,CEO,Christian Sinding,Norway,1971,Business,Male,
EQT AB,Executive Management,"Head of Real Assets' Advisory Teams, Deputy Managing Partner, Chairperson of EQT Exeter",Business Unit Head,Legal Affairs,Lennart Blecher,Sweden,1954,Law,Male,
EQT AB,Executive Management,"Chief Commercial Officer, Global Head of EQT-Ext (CXO)",Support Function,Sales,Suzanne Donohoe,USA,1969,Business,Female,
EQT AB,Executive Management,Chief Operating Officer,Support Function,"Other: ""Chief Operating Officer""",Christina Drews,Germany,1969,Humanities,Female,
EQT AB,Executive Management,"Head of Private Capital, Deputy Managing Partner",Business Unit Head,Finance,Per Franzén,Sweden,1975,Business,Male,
EQT AB,Executive Management,Global Head of Sustainable Transformation,Support Function,Sustainability,Bahare Haghshenas,Sweden,1978,Humanities,Female,
EQT AB,Executive Management,Chief Financial Officer,Support Function,Finance,Kim Henriksson,"Finland, Sweden",1967,Business,Male,
EQT AB,Executive Management,"Partner, Head of EQT Value-Add Infrastructure",Business Unit Head,"Other: ""Head of Value-Add Infrastructure""",Masoud Homayoun,Sweden,1979,Engineering,Male,
EQT AB,Executive Management,Global Head of Communications and External Affairs,Support Function,Comms and Marketing,Ricardo Reyes,USA,1973,Humanities,Male,
EQT AB,Executive Management,"Chairman EQT Asia, Head of Private Capital Asia",Business Unit Head,Business Unit Head,Jean Eric Salata,Chile,1965,Business,Male,
EQT AB,Executive Management,Head of Business Development,Business Unit Head,"Other: ""Head of Business Development""",Gustav Segerberg,Sweden,1982,Business,Male,
EQT AB,Executive Management,Leadership Strategy and Culture Enabler,Support Function,Human Resources,Anna Wahlström,Sweden,1975,Humanities,Female,
Ericsson,Board of Directors,Chair of the Board of Directors,Chair,Chair,Jan Carlson,Sweden,1960,Engineering,Male,
Ericsson,Board of Directors,Deputy Chair,Vice Chair,Vice Chair,Jacob Wallenberg,Sweden,1956,Business,Male,
Ericsson,Board of Directors,Board Member,Board Member,Board Member,Jon Fredrik Baksaas,Norway,1954,Business,Male,
Ericsson,Board of Directors,"President, CEO, Board of Directors Member",Board Member,CEO,Börje Ekholm,"Sweden, USA",1963,"Engineering, Business",Male,
Ericsson,Board of Directors,Board Member,Board Member,Finance,Eric A. Elzvik,"Sweden, Switzerland",1960,Business,Male,
Ericsson,Board of Directors,Board Member,Board Member,Board Member,Kristin S. Rinne,USA,1954,Humanities,Female,
Ericsson,Board of Directors,Board Member,Board Member,Business Unit Head,Jonas Synnergren,Sweden,1977,Business,Male,
Ericsson,Board of Directors,Board Member,Board Member,Board Member,Christy Wyatt,"Canada, USA",1972,"Other: ""Scientific Computer Programming Technology""",Female,
Ericsson,Board of Directors,Board Member,Board Member,Board Member,Karl Åberg,Sweden,1979,Business,Male,
Ericsson,Executive Management,President and CEO,CEO,CEO,Börje Ekholm,"Sweden, USA",1963,"Engineering, Business",Male,
Ericsson,Executive Management,"Executive Vice President, Business Area Networks",Business Unit Head,Business Unit Head,Fredrik Jejdling,Sweden,1969,Business,Male,
Ericsson,Executive Management,"Senior Vice President, Chief People Officer (CPO)",Support Function,Human Resources,MajBritt Arfert,Sweden,1963,Human Resources,Female,
Ericsson,Executive Management,"Senior Vice President, Chief Legal Officer (CLO)",Support Function,Legal Affairs,Scott Dresser,USA,1967,"Law, Business",Male,
Ericsson,Executive Management,"Senior Vice President, Chief Technology Officer (CTO)",Support Function,Innovation,Erik Ekudden,Sweden,1968,Engineering,Male,
Ericsson,Executive Management,"Senior Vice President, Group Function Global Operations",Business Unit Head,"Other: ""Global Operations""",Moti Gyamlani,USA,1973,"Engineering, Business",Male,
Ericsson,Executive Management,"Senior Vice President, Business Area Global Communications Platform & CEO of Vonage",Business Unit Head,Business Unit Head,Niklas Heuveldop,Sweden,1968,"Engineering, Business",Male,
Ericsson,Executive Management,"Senior Vice President, Chief Operating Officer",Support Function,"Other: ""Chief Operating Officer""",Chris Houghton,"UK, Sweden",1966,Law,Male,
Ericsson,Executive Management,"Senior Vice President, Market Area Europe & Latin America",Business Unit Head,Country Head,Jenny Lindqvist,Sweden,1982,Business,Female,
Ericsson,Executive Management,"Senior Vice President, Chief Marketing and Communications Officer (CMO & CCO)",Support Function,Comms and marketing,Stella Medlicott,UK,1969,"Humanities, Business",Female,
Ericsson,Executive Management,"Senior Vice President, Chief Financial Officer (CFO)",Support Function,Finance,Lars Sandström,Sweden,1972,Business,Male,
Ericsson,Executive Management,"Senior Vice President, Market Area South East Asia, Oceania & India",Business Unit Head,Country Head,Andres Vicente,Spain,1970,"Law, Business",Male,
Ericsson,Executive Management,"Senior Vice President, Business Area Cloud Software and Services",Business Unit Head,Business Unit Head,Per Narvinger,Sweden,1974,Engineering,Male,
Ericsson,Executive Management,"Senior Vice President, Market Area Middle East & Africa",Business Unit Head,Country Head,Patrick Johansson,Sweden,1971,Business,Male,
Ericsson,Executive Management,"Senior Vice President, Head of Market Area North America",Business Unit Head,Country Head,Yossi Cohen,"Israel, USA",1971,"Business, Engineering",Male,
Ericsson,Executive Management,"Senior Vice President, Business Area Enterprise Wireless Solutions & CEO of Cradlepoint",Business Unit Head,Business Unit Head,Åsa Tamsons,Sweden,1981,Business,Female,
Ericsson,Executive Management,"Senior Vice President, Market Area North East Asia",Business Unit Head,Country Head,Chafic Nassif,Sweden,1981,Engineering,Male,
Essity,Board of Directors,Chairman,Chair,Chair,Jan Gurander,Sweden (predicted),1961,Business,Male,
Essity,Board of Directors,Board Member,Board Member,Board Member,Ewa Björling,Sweden (predicted),1961,Medicine,Female,
Essity,Board of Directors,Board Member,Board Member,Board Member,Maria Carell,Sweden (predicted),1973,Business,Female,
Essity,Board of Directors,Board Member,Board Member,Board Member,Annemarie Gardshol,Sweden (predicted),1967,Engineering,Female,
Essity,Board of Directors,Board Member,Board Member,Board Member,Magnus Groth,Sweden (predicted),1963,"Business, Engineering",Male,
Essity,Board of Directors,Board Member,Board Member,Board Member,Torbjörn Lööf,Sweden (predicted),1965,Other: Technician,Male,
Essity,Board of Directors,Board Member,Board Member,Board Member,Bert Nordberg,Sweden (predicted),1956,Engineering,Male,
Essity,Board of Directors,Board Member,Board Member,Board Member,Barbara Milian Thoralfsson,Norway (predicted),1959,"Business, Arts",Female,
Essity,Board of Directors,Board Member,Board Member,Board Member,Karl Åberg,Sweden (predicted),1979,Business,Male,
Essity,Executive Management,President and CEO,CEO,CEO,Magnus Groth,Sweden (predicted),1963,"Business, Engineering",Male,
Essity,Executive Management,"CFO and Executive Vice President, Head of Group Function Finance",Support Function,Finance,Fredrik Rystedt,Sweden (predicted),1963,Business,Male,
Essity,Executive Management,Chief HR Officer,Support Function,Human Resources,Anna Sävinger Åslund,Sweden (predicted),1969,Business,Female,
Essity,Executive Management,General Counsel & Chief Legal Officer,Support Function,Legal Affairs,Mikael Schmidt,Sweden (predicted),1960,Law,Male,
Essity,Executive Management,Chief Communications Officer,Support Function,Comms and Marketing,Jessica Alm,Sweden (predicted),1977,"Other: Geosciences, Journalism",Female,
Essity,Executive Management,Chief Strategy Officer,Support Function,Other: Chief Strategy Officer,Sahil Tesfu,Sweden (predicted),1982,Business,Female,
Essity,Executive Management,"President, Global Supply Chain",Business Unit Head,"Other: President, Global Supply Chain",Donato Giorgio,Italy (predicted),1973,Engineering,Male,
Essity,Executive Management,"President, Global Brand, Innovation and Sustainability",Business Unit Head,Innovation,Tuomas Yrjölä,Finland (predicted),1978,Business,Male,
Essity,Executive Management,Chief Digital & Information Officer,Support Function,Innovation,Carl-Magnus Månsson,Sweden (predicted),1966,Sciences,Male,
